,#genre#
CCTV6电影台,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
江苏影视,https://025365.xyz:8082/jstv.php?id=jsys#http://ipv4.sunjianwu.fun:8800/udp/239.49.8.118:8000?$盐成电信组播#http://121.232.31.80:4022/rtp/239.49.1.20:6000#http://biji.sync9.com:8800/udp/239.49.0.20:8152
安徽影视,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be.flv#http://stream.ahwanyun.cn:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8?fbl=$AHYD超清#http://stream.ahwanyun.cn:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8#http://stream.ahwanyun.cn:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8?fbl=#http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8?zanh
安徽综艺体育,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3.flv#http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8?世界杯WorldCup#http://stream.ahwanyun.cn:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8?fbl=$AHYD超清#http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8?zanhd#http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8?zanhd？世界杯世界杯#http://stream.ahwanyun.cn:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8#http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8?zanhd?世界杯WorldCup#http://stream.ahwanyun.cn:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8?fbl=#http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8?zanhd%EF%BC%9F%E4%B8%96%E7%95%8C%E6%9D%AF%E4%B8%96%E7%95%8C%E6%9D%AF#http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8?zanhd?
歙县综合,http://112.30.194.221:20080/live/4b3024127d1c472986ccdcb454f81a9f/hls.m3u8
美亚电影台,https://025365.xyz:8082/jstv.php?id=jszy
星光电影台,http://live.cztv.cc:85/live/xwpd.m3u8
天空体育5,http://a16e00c6.ucomist.net/iptv/UPKY3Y8BF6KNX8/2477/index.m3u8
龙华电影,http://37.27.111.214:8080/live/19/hls.m3u8#http://tv.tvbox6.icu/tv/tw9.php?id=19#http://tvbox6.icu/tv/tw9.php?id=19
动物星球,https://025365.xyz:8082/jstv.php?id=jscs#http://61.221.215.25:8800/hls/57/index.m3u8
广东纪录台,https://tplaylive.grtn.cn/live/jilupian.m3u8?auth_key=1723169807-0-0-a22daa4ac6b536a33093913025b42be6
广东文化台,https://tplaylive.grtn.cn/live/wenhua_test0203.m3u8?auth_key=1723169933-0-0-a75d561ef755692a83a66b8eb1a647c4
