2025/09/21 16:00更新,#genre#
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8

四川移动-组播5,#genre#
四川卫视,http://183.220.107.138:4022/rtp/239.11.0.78:5140
康巴卫视,http://183.220.107.138:4022/rtp/239.11.0.10:5140
四川影视文艺,http://183.220.107.138:4022/rtp/239.11.0.77:5140
四川峨眉电影,http://183.220.107.138:4022/rtp/239.11.0.11:5140
CDTV1综合,http://183.220.107.138:4022/rtp/239.10.0.11:5140
CDTV2经济,http://183.220.107.138:4022/rtp/239.10.0.12:5140
CDTV3生活,http://183.220.107.138:4022/rtp/239.10.0.13:5140
CDTV4影视,http://183.220.107.138:4022/rtp/239.10.0.14:5140
CDTV5公共,http://183.220.107.138:4022/rtp/239.10.0.15:5140
CCTV-1综合,http://183.220.107.138:4022/rtp/239.11.0.65:5140
CCTV-2财经,http://183.220.107.138:4022/rtp/239.11.0.108:5140
CCTV-3综艺,http://183.220.107.138:4022/rtp/239.11.0.101:5140
CCTV-4中文国际,http://183.220.107.138:4022/rtp/239.11.0.109:5140
CCTV-5体育,http://183.220.107.138:4022/rtp/239.11.0.100:5140
CCTV-5+体育赛事,http://183.220.107.138:4022/rtp/239.11.0.241:5140
CCTV-6电影,http://183.220.107.138:4022/rtp/239.11.0.102:5140
CCTV-7国防军事,http://183.220.107.138:4022/rtp/239.11.0.110:5140
CCTV-8电视剧,http://183.220.107.138:4022/rtp/239.11.0.103:5140
CCTV-9纪录,http://183.220.107.138:4022/rtp/239.11.0.111:5140
CCTV-10科教,http://183.220.107.138:4022/rtp/239.11.0.112:5140
CCTV-11戏曲,http://183.220.107.138:4022/rtp/239.11.0.22:5140
CCTV-13新闻,http://183.220.107.138:4022/rtp/239.11.0.24:5140
CCTV-14少儿,http://183.220.107.138:4022/rtp/239.11.0.114:5140
CCTV-15音乐,http://183.220.107.138:4022/rtp/239.11.0.26:5140
CCTV-16奥林匹克4K,http://183.220.107.138:4022/rtp/239.10.0.187:5140
CCTV-17农业农村,http://183.220.107.138:4022/rtp/239.11.0.107:5140
湖南卫视,http://183.220.107.138:4022/rtp/239.11.0.119:5140
江苏卫视,http://183.220.107.138:4022/rtp/239.11.0.76:5140
浙江卫视,http://183.220.107.138:4022/rtp/239.11.0.70:5140
安徽卫视,http://183.220.107.138:4022/rtp/239.11.0.117:5140
北京卫视,http://183.220.107.138:4022/rtp/239.11.0.121:5140
北京卫视4K超高清,http://183.220.107.138:4022/rtp/239.10.0.91:5140#http://183.220.107.138:4022/rtp/239.10.0.92:5140
重庆卫视,http://183.220.107.138:4022/rtp/239.11.0.116:5140
东方卫视,http://183.220.107.138:4022/rtp/239.11.0.68:5140
甘肃卫视,http://183.220.107.138:4022/rtp/239.11.0.55:5140
广东卫视,http://183.220.107.138:4022/rtp/239.11.0.115:5140
广西卫视,http://183.220.107.138:4022/rtp/239.11.0.48:5140
贵州卫视,http://183.220.107.138:4022/rtp/239.11.0.51:5140
河北卫视,http://183.220.107.138:4022/rtp/239.11.0.31:5140
河南卫视,http://183.220.107.138:4022/rtp/239.11.0.44:5140
黑龙江卫视,http://183.220.107.138:4022/rtp/239.11.0.36:5140
湖北卫视,http://183.220.107.138:4022/rtp/239.11.0.74:5140
吉林卫视,http://183.220.107.138:4022/rtp/239.11.0.35:5140
江西卫视,http://183.220.107.138:4022/rtp/239.11.0.42:5140
辽宁卫视,http://183.220.107.138:4022/rtp/239.11.0.118:5140
山东卫视,http://183.220.107.138:4022/rtp/239.11.0.73:5140
陕西卫视,http://183.220.107.138:4022/rtp/239.11.0.54:5140
深圳卫视,http://183.220.107.138:4022/rtp/239.11.0.71:5140
天津卫视,http://183.220.107.138:4022/rtp/239.11.0.123:5140
云南卫视,http://183.220.107.138:4022/rtp/239.11.0.52:5140
山西卫视,http://183.220.107.138:4022/rtp/239.11.0.32:5140
